City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
manggar,-2.8833,108.2667,78.71,82,96,9.28,ID,1630971985
wanning,18.8003,110.3967,79.45,88,91,4.65,CN,1630971986
barra patuca,15.8,-84.2833,80.22,86,94,9.84,HN,1630971986
orocue,4.7912,-71.3354,76.06,91,83,6.4,CO,1630971987
solnechnyy,50.7214,136.6319,65.3,74,100,3.13,RU,1630971972
san patricio,28.017,-97.5169,97.21,53,47,12.86,US,1630971987
torbay,47.6666,-52.7314,53.67,88,75,11.5,CA,1630971988
zapote,21.0667,-102.8,67.87,79,99,2.82,MX,1630971988
kimbe,-5.5502,150.1429,85.39,68,96,4.07,PG,1630971989
terra santa,-2.1042,-56.4869,82.17,53,49,2.8,BR,1630971989
dharchula,29.85,80.5333,72.05,90,65,1.72,IN,1630971990
hualmay,-11.0964,-77.6139,62.42,85,86,11.25,PE,1630971990
mikhaylovka,50.06,43.2379,48.25,54,69,4.32,RU,1630971991
kaitangata,-46.2817,169.8464,52.05,74,96,0.74,NZ,1630971991
saint-louis,16.3333,-15.0,85.06,64,99,12.93,SN,1630971992
yarada,17.65,83.2667,77.32,100,90,6.91,IN,1630971992
adrar,20.5022,-10.0711,94.66,10,2,8.61,MR,1630971993
kalmunai,7.4167,81.8167,79.47,73,100,2.89,LK,1630971993
san carlos del zulia,9.0,-71.9135,77.95,83,32,5.75,VE,1630971993
burns lake,54.2331,-125.7533,62.02,48,100,8.34,CA,1630971994
ruidoso,33.3317,-105.673,80.46,33,20,0.0,US,1630971995
kolyubakino,55.668,36.5323,44.69,88,42,5.64,RU,1630971995
rawson,-43.3002,-65.1023,55.22,68,97,5.17,AR,1630971995
chaihe,44.7667,129.7,58.98,85,100,10.31,CN,1630971996
luwuk,-0.9516,122.7875,77.79,82,96,6.71,ID,1630971996
sotnikovo,51.8845,107.4791,41.09,93,75,0.0,RU,1630971996
sampang,-7.1872,113.2394,76.95,73,36,6.22,ID,1630971997
kochubey,44.3861,46.5825,56.88,82,100,8.88,RU,1630971997
ngerengere,-6.75,38.1167,70.45,88,85,2.21,TZ,1630971998
pacific grove,36.6177,-121.9166,101.16,75,1,5.99,US,1630971998
bandarbeyla,9.4942,50.8122,77.54,78,100,25.23,SO,1630971999
jinxiang,27.4327,120.6062,82.45,81,58,4.36,CN,1630971999
